  0.92464783D-02  0.23129617D+01  0.15268152D+02 -0.33343149D+01
  0.14846551D-01  0.52430585D+00  0.16300833D+02 -0.33343149D+01
  0.12966800D-01 -0.15096785D+01  0.15942186D+02 -0.33343149D+01
  0.37827596D-02 -0.28372675D+01  0.14360027D+02 -0.33343149D+01
  0.71324850D-02  0.18660653D+01  0.13327346D+02 -0.49216848D+01
  0.13707844D-01  0.57664589D+00  0.15102080D+02 -0.49216848D+01
  0.10951126D-01 -0.15096785D+01  0.14424192D+02 -0.49216848D+01
  0.12695975D-01  0.38879350D-15  0.13327346D+02 -0.55280062D+01
  0.12696036D-01 -0.37708828D-30  0.13327346D+02  0.55280066D+01
  0.71325475D-02  0.18660653D+01  0.13327346D+02  0.49216852D+01
  0.13707915D-01  0.57664589D+00  0.15102080D+02  0.49216852D+01
  0.10951195D-01 -0.15096785D+01  0.14424192D+02  0.49216852D+01
 -0.32037762D-02  0.30193571D+01  0.13327346D+02  0.33343153D+01
  0.92465395D-02  0.23129617D+01  0.15268152D+02  0.33343153D+01
  0.14846613D-01  0.52430585D+00  0.16300833D+02  0.33343153D+01
  0.12966862D-01 -0.15096785D+01  0.15942186D+02  0.33343153D+01
  0.37828189D-02 -0.28372675D+01  0.14360027D+02  0.33343153D+01
  0.78317451D-02  0.23129617D+01  0.15268152D+02  0.13722181D+01
  0.14487412D-01  0.52430585D+00  0.16300833D+02  0.13722181D+01
  0.12251001D-01 -0.15096785D+01  0.15942186D+02  0.13722181D+01
  0.14382507D-02 -0.28372675D+01  0.14360027D+02  0.13722181D+01
 -0.87007728D-02  0.34367567D+01  0.00000000D+00  0.46428418D+01
 -0.46321035D-02  0.28911838D+01  0.18580510D+01  0.46428418D+01
 -0.77992732D-02 -0.32975439D+01  0.96824626D+00  0.46428418D+01
 -0.77992732D-02 -0.32975439D+01 -0.96824626D+00  0.46428418D+01
 -0.46321035D-02  0.28911838D+01 -0.18580510D+01  0.46428418D+01
 -0.22697280D-01  0.39684249D+01  0.00000000D+00  0.26586293D+01
 -0.22839327D-01 -0.38531096D+01  0.94970623D+00  0.26586293D+01
 -0.22839327D-01 -0.38531096D+01 -0.94970623D+00  0.26586293D+01
 -0.23865780D-01  0.34367567D+01  0.00000000D+00  0.67441691D+00
 -0.17496895D-01  0.34367567D+01 -0.23130796D+01  0.33591716D+01
 -0.24082659D-01  0.39684249D+01 -0.23130796D+01  0.13749592D+01
 -0.25032791D-01 -0.38531096D+01 -0.13633734D+01  0.13749592D+01
 -0.24041064D-01 -0.38531096D+01 -0.32627859D+01  0.13749592D+01
 -0.23865787D-01  0.34367567D+01  0.00000000D+00 -0.67441668D+00
 -0.22697280D-01  0.39684249D+01  0.00000000D+00 -0.26586291D+01
 -0.22839327D-01 -0.38531096D+01  0.94970623D+00 -0.26586291D+01
 -0.22839327D-01 -0.38531096D+01 -0.94970623D+00 -0.26586291D+01
 -0.87007414D-02  0.34367567D+01  0.00000000D+00 -0.46428415D+01
 -0.46320664D-02  0.28911838D+01  0.18580510D+01 -0.46428415D+01
 -0.77992405D-02 -0.32975439D+01  0.96824626D+00 -0.46428415D+01
 -0.77992405D-02 -0.32975439D+01 -0.96824626D+00 -0.46428415D+01
 -0.46320664D-02  0.28911838D+01 -0.18580510D+01 -0.46428415D+01
 -0.24082660D-01  0.39684249D+01 -0.23130796D+01 -0.13749589D+01
 -0.25032794D-01 -0.38531096D+01 -0.13633734D+01 -0.13749589D+01
 -0.24041069D-01 -0.38531096D+01 -0.32627859D+01 -0.13749589D+01
 -0.17496884D-01  0.34367567D+01 -0.23130796D+01 -0.33591714D+01
  0.18446991D-01 -0.16574923D-23  0.00000000D+00  0.78848994D+01
  0.14071416D-01  0.18660653D+01  0.00000000D+00  0.72785780D+01
